term,definition
Tabula Muris Senis,"The Mouse Ageing Cell Atlas; a single-cell transcriptomic atlas across the lifespan of Mus musculus covering 23 tissues and organs"
Cdkn2a,"Gene encoding the p16 tumor suppressor protein, one of the most frequently used markers of cellular senescence"
FACS,"Fluorescence-activated cell sorting; here used to sort single cells into microtitre well plates for full-length transcript sequencing via Smart-seq2"
droplet,"Microfluidic droplet-based single-cell RNA sequencing method (10x Genomics Chromium) using 3-prime end counting"
ERCC,"External RNA Controls Consortium; synthetic spike-in RNA standards used to estimate technical error rates in sequencing"
LSECs,"Liver sinusoidal endothelial cells; specialized endothelial cells lining the liver sinusoids with roles in immune defence"
Mrc1,"Mannose receptor C-type 1 gene; encodes the mannose receptor protein involved in immune recognition"
MHC,"Major histocompatibility complex; cell surface proteins important for adaptive immune system recognition"
Umod,"Gene encoding uromodulin, the most abundant protein in urine, produced by thick ascending limb epithelial cells"
M1-macrophage,"Pro-inflammatory macrophage phenotype"
M2-macrophage,"Anti-inflammatory macrophage phenotype"
Jchain,"Gene encoding the joining chain of immunoglobulins, also known as Igj; a marker of plasma cells"
AP1,"Activator protein 1; a transcription factor complex composed of Jun and Fos family members"
bbknn,"Batch balanced k-nearest neighbours; an algorithm used for batch correction across different sequencing methods"
MAST,"Model-based Analysis of Single-cell Transcriptomics; a statistical framework for differential expression analysis in single-cell data"
PAGA,"Partition-based graph abstraction; a method for trajectory inference in single-cell data"
Sirt,"Sirtuin gene family; encodes NAD-dependent deacetylases involved in cellular senescence regulation"
