location,content_summary,relevance_signal,confidence,dataset_source
"Main text - Dataset overview (page 590, para 1)","Describes the generation of the Tabula Muris Senis atlas: scRNA-seq on more than 350000 cells from male and female C57BL/6JN mice across 23 tissues at six age groups (1, 3, 18, 21, 24, and 30 months) using FACS and droplet methods.",explicit reference,High,all
"Main text - Cell annotation and quality control (page 590, para 2-3)","Reports that 529823 total cells were sequenced, with 110824 FACS and 245389 droplet cells passing filtering. Describes use of Tabula Muris (3-month) as reference for semi-automated annotation, achieving >70% automated annotation with expert curation.",explicit reference,High,all
"Main text - Batch correction and clustering (page 590, para 3)","Describes application of bbknn batch-alignment algorithm and Louvain graph-based clustering to assess consistency of cell annotations across the organism, showing that B cells and endothelial cells cluster by type irrespective of tissue or method.",methodological match,High,all
"Main text - Ageing-related changes in gene expression (page 590, para 4)","Reports that the Tabula Muris Senis enables discovery of ageing-related changes in specific cell types, resolving whether bulk expression changes are due to changes in cell numbers or per-cell expression. Global analysis with bulk RNA-seq from tissues shows both mechanisms contribute.",methodological match,High,all
"Main text - Cdkn2a senescence analysis (page 590-591)","Reports that the fraction of cells expressing Cdkn2a and its protein product p16 more than doubled in older mice compared to younger mice by both FACS and droplet methods. Notes that 30-month-old mice show a smaller fraction of p16-expressing cells than 24-month-old mice.",explicit reference,High,all
"Main text - Senescence markers survey (page 591)","Using a list of previously characterized senescence markers, plots the fraction of cells expressing each marker across all age groups. Cdkn2a has the highest correlation with ageing; other genes with positive correlation include E2f2, Lmnb1, Tnf, and Itgax. Sirt family genes decrease with age.",methodological match,High,all
"Main text - Bladder cellular composition (page 591)","Reports pronounced changes in bladder cell-type composition with age: the mesenchymal compartment decreases by a factor of three, while the urothelial compartment increases. Differential gene expression shows stromal genes downregulated and epithelial genes upregulated.",methodological match,High,all
"Main text - Bladder tissue microenvironment (page 591)","Reports decline of the endothelial population in bladder suggesting lower organ vascularization. Increase in leukocyte population indicates inflammatory tissue microenvironment. Overexpression of Lgals3, Igfbp2, and Ly6d and immune-response genes in old leukocytes.",methodological match,High,all
"Main text - Kidney age-related changes (page 591)","Reports decrease in relative abundance of mesangial cells, capillary endothelial cells, loop of Henle ascending limb epithelial cells, and loop of Henle thick ascending limb epithelial cells with age. Reduction of Egf and Atp1a1 expression suggests impaired glomerular filtration rate.",methodological match,High,all
"Main text - Kidney Umod expression (page 592)","Reports that expression of Umod (encoding uromodulin) decreases across the tissue with age due to reduction in the proportion of ascending limb and thick ascending limb epithelial cells. As with Atp1a1, Umod expression increases in the cell type that becomes less abundant.",methodological match,High,all
