location,content_summary,relevance_signal,confidence,dataset_source
Section 2.3 - Tissue Dissociation,"Describes dissociation of mouse brain tissue and single-cell suspension preparation used for scRNA-seq library generation.",cross-reference in methods,High,GEO: GSE283905
Section 2.4 - Nuclei Isolation and Library Preparation for snATAC-Seq,"Describes nuclei isolation from two cohorts of APP/PS1 mice and library preparation using 10x Genomics Chromium Next GEM Single Cell ATAC Kit v2. Sequenced on Illumina NovaSeq S2 PE100 targeting at least 10000 nuclei per sample.",cross-reference in methods,High,GEO: GSE283906
Section 2.5 - Chromatin Immunoprecipitation and Sequencing - ChIP-Seq,"Describes ChIP-seq protocol using anti-RXR antibody on brain lysates from Bexarotene- and Vehicle-treated APP/PS1 mice (n=2 per group). Libraries sequenced on Illumina HiSeq2000.",cross-reference in methods,High,GEO: GSE289039
Section 2.6.1 - scRNA-Seq Data Analysis,"Describes reanalysis of scRNA-seq data generated by Saibro-Girardi et al. using Cell Ranger v7.0 and Seurat. 37634 cells retained after filtering. Clustering at 0.25 resolution and differential expression using MAST algorithm.",cross-reference in methods,High,GEO: GSE283905
Section 2.6.2 - snATAC-Seq Data Processing and Cell Type Annotation,"Describes snATAC-seq processing using cellranger-atac count and ArchR. Quality filtering yielded high-quality nuclei. Cluster identities assigned via unconstrained integration with scRNA-seq. Peaks called with MACS2 and peak-to-gene links identified.",cross-reference in methods,High,GEO: GSE283906; GEO: GSE283905
Section 2.6.3 - Identification of Candidate TF Regulators,"ChromVAR used to predict TF activity enrichment per cell from snATAC-seq. Pearson correlation between motif enrichment Z-scores and ATAC-inferred gene expression (FDR < 0.01 and correlation > 0.5) and also with RNA expression from scRNA-seq.",cross-reference in methods,High,GEO: GSE283906; GEO: GSE283905
Section 2.6.4 - Analysis of Differentially Accessible Peaks,"Differentially accessible regions between Bexarotene and Vehicle identified using Signac FindMarkers with logistic regression. Functional annotation with DAVID.",cross-reference in methods,High,GEO: GSE283906
Section 2.6.5 - Transcription Factor Footprinting and Regulatory Networks,"TOBIAS pipeline applied to snATAC-seq differentially accessible peaks for TF footprinting. BINDetect identified differentially bound TFs between conditions. TF-TF regulatory network constructed using CreateNetwork module and visualized in Cytoscape.",cross-reference in methods,High,GEO: GSE283906
Section 2.6.6 - ChIP-Seq Analysis and Validation of snATAC-Seq Data,"ChIP-seq reads aligned with Bowtie2 to GRCm38. MACS2 peak calling comparing Bexarotene vs Vehicle (q-value 0.05). Overlapping regions between ChIP-seq and ATAC-seq determined by Bedtools with 10 kb windows. Overlapping peaks annotated by Uropa and scanned for RXR heterodimer motifs using MEME Suite FIMO. Metascape enrichment analysis performed.",cross-reference in methods,High,GEO: GSE289039; GEO: GSE283906
Section 3.1 - Single-Cell RNA and ATAC Profiling Identify Major Cell Types in APP/PS1 Mouse Brain,"Reports profiling of 5-month-old APP/PS1 mouse brains yielding 61353 nuclei (snATAC-seq) and 37640 cells (scRNA-seq). Unsupervised clustering and UMAP identified major brain cell populations. Marker gene analysis confirmed cluster identity.",methodological match; explicit reference,High,GEO: GSE283906; GEO: GSE283905
Figure 1A,"Experimental design schematic showing APP/PS1 mice treated with Bexarotene or Vehicle for snATAC-seq (n=5 per group) and ChIP-seq.",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Figure 1B,"UMAP projections of integrated scRNA-seq and snATAC-seq datasets showing sample treatment distribution and cell type annotations across 61353 nuclei.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 1C,"Bar chart showing proportions of annotated peak distributions (distal/exonic/intronic/promoter) across major cell-type groups from snATAC-seq (n=5 per group).",figure/table source,High,GEO: GSE283906
Figure 1D,"Heatmap of normalized expression of top marker genes (Aqp4/Prlr/Pglyrp1/Pf4/Tmem119/Slc17a7/Cldn11/Vtn) for each cell type from scRNA-seq.",figure/table source,High,GEO: GSE283905
Figure 1E,"Coverage plots showing chromatin accessibility across major cell types for representative marker genes. Bottom panels show peak-to-gene linkage analysis correlating peak accessibility and gene activity.",figure/table source,High,GEO: GSE283906
Section 3.2 - RXR Activation Remodels Chromatin Accessibility and Prioritizes Upstream Regulators,"ChromVAR motif enrichment across major cell types from snATAC-seq identifies 88 high-confidence candidate TF regulators (Pearson > 0.5 and FDR < 0.01). Examples include Pax6 (astrocytes) and Lef1 (endothelium) and Neurod6 (neurons) and Runx3 (macrophages) and Mafb (microglia) and Nfe2l3 (oligodendrocytes).",methodological match,High,GEO: GSE283906; GEO: GSE283905
Figure 2A-C,"Heatmaps of 88 candidate TF regulators shown as chromVAR motif enrichment (A) and ATAC-inferred gene expression from ArchR (B) and RNA expression from scRNA-seq (C) across cell types. Side panels show Pearson correlations between ATAC-inferred TF expression and chromVAR or gene expression.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 2D-F,"UMAP embeddings of example candidate TF regulators (Pax6/Lef1/Neurod6/Runx3/Mafb/Nfe2l3) showing motif enrichment (D) and inferred gene expression from ATAC-seq (E) and gene expression from scRNA-seq (F).",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Integration of scRNA-Seq and snATAC-Seq Data,"Reports integration of scRNA-seq and snATAC-seq using feature linkages to map cell-type and condition-specific cis-regulatory elements. 1605 peaks more accessible with RXR activation and 1310 enriched in Vehicle. Differentially accessible peaks concentrated in microglia and endothelial cells.",methodological match,High,GEO: GSE283906; GEO: GSE283905
Figure 3A,"Heatmap of differentially accessible peaks (left: 1310 down / 14170 ns / 1685 up) and linked genes (right) between RXR-activated and Vehicle groups across major cell types. Z-scores shown for both accessibility and expression levels.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 3B,"Coverage plots of differentially accessible peaks at representative loci (Apoe/Fkbp5 in microglia; Hes1/Sik1 in endothelial cells; Nupr1 in astrocytes; Pdgfra in oligodendrocytes) showing peak coordinates and genomic links and expression levels under each condition.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 3C,"GO enrichment analysis of biological processes associated with upregulated genes (left) and downregulated genes (right) in microglia following RXR activation. Upregulated: cell migration / response to hypoxia / inflammatory response / HDL remodeling. Downregulated: chromatin remodeling / protein phosphorylation / nervous system development.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 3D,"GO enrichment analysis of biological processes associated with upregulated (left) and downregulated (right) genes in endothelial cells following RXR activation. Upregulated: angiogenesis / cell migration / TGF-beta signaling. Downregulated: transcription regulation / apoptotic process / insulin secretion.",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Microglia detailed analysis,"In microglia 1752 differential peaks identified (856 up / 816 down). RXR activation increased accessibility affecting cell migration (Ccr1) / cell differentiation (Dusp6) / inflammatory response (Cx3cr1) / phosphorylation (Bmp2k / Cbl) / HDL remodeling (Apoe / Lipg / Lipc / Lpl). Apoe locus peaks significantly upregulated (log2FC = 1.66). Fkbp5 peaks significantly downregulated (log2FC = -0.94).",methodological match,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Endothelial cells detailed analysis,"Endothelial cells showed 1717 differential peaks (789 up / 928 down). Hes1 peak upregulated (log2FC = 0.70) with mRNA upregulation (log2FC = 0.38). Sik1 peak downregulated (log2FC = -0.29) with mRNA downregulation (log2FC = -0.14). Upregulated GO categories include angiogenesis and cell migration.",methodological match,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Astrocytes analysis,"276 differential peaks in astrocytes (26 up / 252 down). Nupr1 showed increased chromatin accessibility (log2FC = 0.52) associated with increased expression (mRNA log2FC = 0.14).",methodological match,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Oligodendrocytes analysis,"185 differential peaks in oligodendrocytes (64 up / 121 down). Pdgfra upregulated after treatment (mRNA log2FC = 0.27) matching increased chromatin accessibility (log2FC = 0.72). Mertk also showed increased expression (mRNA log2FC = 0.11) with increased accessibility (log2FC = 0.51).",methodological match,High,GEO: GSE283906; GEO: GSE283905
Section 3.3 - Neurons analysis,"Relatively few differential peaks in neurons (110 total). GO terms associated with dendrite morphogenesis / synaptic transmission / regulation of synaptic plasticity.",methodological match,High,GEO: GSE283906
Section 3.4 - Transcription Factor Footprinting Reveals RXR-Centered Regulatory Circuits,"TOBIAS footprinting analysis on open chromatin profiles from astrocytes / endothelial cells / oligodendrocytes / microglia identifies differentially bound TFs between RXR-activated and Vehicle groups. Some TFs (Ets1 / Erg / Gabpa) showed stronger binding in Vehicle across all cell types. 20-27% of TFs showed concordant footprinting and differential expression changes.",methodological match,High,GEO: GSE283906
Section 3.4 - TF footprinting with expression integration,"Comparing footprinting changes with differential expression (scRNA-seq) showed 20-27% of TFs with consistent regulation at both levels. Olig2 had higher footprinting and expression in astrocytes and oligodendrocytes. Representative altered footprints: Alx1 in astrocytes / Erg in endothelial cells / Spi1 in microglia / Neurog1 in oligodendrocytes.",methodological match,High,GEO: GSE283906; GEO: GSE283905
Section 3.4 - RXR-centered TF regulatory network,"TOBIAS network module predicted a cascade of 25 primary TFs activated by ligand-bound RXR that collectively activate 141 additional TFs. Reveals an RXR-centered regulatory hierarchy across brain cell types.",methodological match,High,GEO: GSE283906
Figure 4A,"Schematic workflow for TF footprinting using TOBIAS and regulatory network construction from snATAC-seq data.",figure/table source,High,GEO: GSE283906
Figure 4B,"Heatmap of differentially bound TFs between RXR-activated and Vehicle groups in astrocytes / endothelial cells / microglia / oligodendrocytes. Red = higher binding in RXR activation; blue = higher in Vehicle.",figure/table source,High,GEO: GSE283906
Figure 4C,"Bar charts showing representative TF occupancy (white) and gene expression changes (gray; log2FC Bexarotene vs Vehicle). Donut plots show percentage of TFs with concordant occupancy and expression changes (20-27%).",figure/table source,High,GEO: GSE283906; GEO: GSE283905
Figure 4D,"Representative TF footprints with significantly altered occupancy (FDR < 0.05): Alx1 in astrocytes / Erg in endothelial cells / Spi1 in microglia / Neurog1 in oligodendrocytes. Red = Bexarotene-corrected signals; blue = Vehicle.",figure/table source,High,GEO: GSE283906
Figure 4E,"RXR-centered TF regulatory network. Circles = direct RXR targets; octagons = indirect TFs downstream of direct targets. Node color = mean log2FC in binding score; node size = TFBS score.",figure/table source,High,GEO: GSE283906
Figure 4F,"Neuronal TF regulatory network showing TFs with significantly different binding scores (Bexarotene vs Vehicle). Colored circles = significantly altered TFs; gray circles = direct TF targets. Circle size = number of direct TF targets; color = mean log2FC in binding score.",figure/table source,High,GEO: GSE283906
Section 3.5 - Differential Regulatory Networks in Neuronal Systems,"TF regulatory networks reconstructed from footprinting in neurons. Networks compared between RXR-activated and Vehicle groups. 134 TFs and thousands of edges with comparable size / density (~0.18-0.20) / and global connectivity. Core universal regulators (Klf4 / Egr2 / Zfx / Foxn1 / Nrf1) maintained highest out-degrees. RXR activation enhanced Atoh1 -> Neurod2 cascade.",methodological match,High,GEO: GSE283906
Section 3.6 - ChIP-Seq Validation of RXR-Bound Regulatory Elements,"RXR ChIP-seq identified 11957 significant binding peaks. 3908 overlapped with enriched ATAC-seq peaks. Among 1251 overlapping peaks 777 at TSSs and 60 in upstream promoter regions (~70% proximal CREs). GO and pathway analysis of overlapping peaks showed enrichment in neurodegenerative disease KEGG pathways (AD / PD / HD / PrD / ALS).",explicit reference; methodological match,High,GEO: GSE289039; GEO: GSE283906
Figure 5A,"Venn-style bar chart showing unique and overlapping peaks between ATAC-seq (2657 unique / 1251 overlapping) and ChIP-seq (total 3908 ATAC peaks involved).",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Figure 5B,"Bar chart showing total ChIP-seq peaks: 10712 ChIP-unique peaks and 1245 overlapping peaks out of 11957 total RXR-binding peaks.",figure/table source,High,GEO: GSE289039
Figure 5C,"Distribution of 1251 overlapping ATAC-seq/ChIP-seq peaks by relative position: 777 at TSSs and 60 upstream and additional at other genomic features.",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Section 3.7 - Integrative Single-Cell Analysis Links RXR Activation to Candidate Cis-Regulatory Elements,"Integrated analysis of overlapping ATAC-seq/ChIP-seq peaks within ENCODE regulatory signatures identified seven TFs of particular interest: Myc / Arid5a / Creb3l2 / Egr1 / Zic2 / Gli2 / Nfatc2. Each showed cell-type-specific expression and regulatory associations. Only Myc and Nfatc2 had previously recognized direct regulatory input from retinoid receptors. RXR/Nfatc2 co-binding significantly altered by RXR activation.",explicit reference; methodological match,High,GEO: GSE283906; GEO: GSE289039; GEO: GSE283905
Figure 5D,"Circos plot visualizing overlap among gene lists from RXR ChIP-seq binding and ATAC-seq motif enrichment. Outer arcs = gene lists; inner arcs = member genes.",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Figure 5E,"Network of enriched pathways associated with genes overlapping ATAC-seq and ChIP-seq peaks. Includes connective tissue / organelle organization / phosphorylation / mitochondrial organization / Hippo signaling / angiogenesis / DNA repair / neurodegenerative disorders / vesicle-mediated transport.",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Figure 5F,"Table of TF names / JASPAR RXRalpha (PPARgamma::RXRalpha) motifs / coordinates within overlapping ATAC-seq/ChIP-seq peaks / and ENCODE candidate CRE signatures.",figure/table source,High,GEO: GSE283906; GEO: GSE289039
Figure 5G upper panel,"Heatmap of log2FC expression for genes near overlapping ATAC-seq and ChIP-seq peaks implicated in neurodegenerative disorders (Bexarotene vs Vehicle).",figure/table source,High,GEO: GSE283906; GEO: GSE289039; GEO: GSE283905
Figure 5G lower panel,"Cell-type-specific expression of TFs located near overlapping ATAC-seq/ChIP-seq peaks across oligodendrocytes / microglia / astrocytes / endothelial cells.",figure/table source,High,GEO: GSE283906; GEO: GSE289039; GEO: GSE283905
Data Availability Statement,"Explicitly states snATAC-seq and ChIP-seq data deposited at GEO under GSE283906 and GSE289039. scRNA-seq data under GSE283905 reanalyzed for integrative purposes.",explicit reference,High,all
Supplementary Figure S1,"Quality control metrics for scRNA-seq and snATAC-seq. Panels A-D: violin plots of molecule counts / gene counts / mitochondrial percentage for scRNA-seq. Panel E: TSS enrichment and fragment distributions for snATAC-seq. Panel F: ArchR doublet enrichment for snATAC-seq. Panel G: Distribution of cells/nuclei between treatment groups across cell types.",figure/table source,High,GEO: GSE283905; GEO: GSE283906
