location,content_summary,relevance_signal,confidence,dataset_source
Section 2.1 - Animals and Treatment,"Describes the APP/PS1 mouse model, Bexarotene treatment paradigm (100 mg/kg/day for 10 days), and experimental groups used for all three datasets.",cross-reference in methods,High,all
Section 2.2 - Perfusions and Brain Tissue Processing,"Describes brain tissue collection and processing procedures used to generate samples for single-cell and ChIP-seq assays.",cross-reference in methods,High,all
Section 2.3 - Tissue Dissociation,"Describes tissue dissociation protocol using Adult Brain Dissociation Kit to generate single-cell suspensions for scRNA-seq and snATAC-seq.",cross-reference in methods,High,GSE283906;GSE283905
Section 2.4 - Nuclei Isolation and Library Preparation for snATAC-seq,"Describes nuclei isolation from two cohorts (cryopreserved and fresh), library preparation using 10x Genomics Chromium Next GEM Single Cell ATAC Kit v2, and sequencing on Illumina NovaSeq S2 PE100 for snATAC-seq (n=5 per group).",cross-reference in methods; explicit reference,High,GSE283906
Section 2.5 - Chromatin Immunoprecipitation and Sequencing - ChIP-Seq,"Describes ChIP-seq protocol using anti-RXR antibody, library preparation with TruSeq ChIP Sample Prep Kit, and sequencing on Illumina HiSeq2000 for Bexarotene and Vehicle treated APP/PS1 mice.",cross-reference in methods; explicit reference,High,GSE289039
Section 2.6.1 - scRNA-Seq Data Analysis,"Describes processing of scRNA-seq data with Cell Ranger v7.0 and Seurat v4.2.1, filtering criteria yielding 37634 cells, normalization with SCTransform, clustering, and differential expression with MAST algorithm.",cross-reference in methods; explicit reference,High,GSE283905
Section 2.6.2 - snATAC-Seq Data Processing and Cell Type Annotation,"Describes snATAC-seq data processing with Cell Ranger ATAC and ArchR, quality filtering, doublet removal, LSI dimensionality reduction, integration with scRNA-seq for cell type annotation, and peak calling with MACS2.",cross-reference in methods; explicit reference,High,GSE283906;GSE283905
Section 2.6.3 - Identification of Candidate TF Regulators,"Describes chromVAR analysis for TF motif enrichment and Pearson correlation between motif enrichment Z-scores, ATAC-inferred gene expression, and RNA-seq gene expression.",cross-reference in methods; methodological match,High,GSE283906;GSE283905
Section 2.6.4 - Analysis of Differentially Accessible Peaks,"Describes conversion of ArchR project to Signac format and differential accessibility analysis using logistic regression between Bexarotene and Vehicle groups, with functional annotation via DAVID.",cross-reference in methods,High,GSE283906
Section 2.6.5 - Transcription Factor Footprinting and Regulatory Networks,"Describes TOBIAS pipeline for TF footprinting on snATAC-seq peaks including Tn5 bias correction, footprint scoring, BINDetect for differential motif binding, and CreateNetwork for TF-TF regulatory network construction.",cross-reference in methods,High,GSE283906
Section 2.6.6 - ChIP-Seq Analysis and Validation of snATAC-Seq Data,"Describes ChIP-seq alignment with Bowtie2, peak calling with MACS2, overlap analysis with ATAC-seq peaks using Bedtools, annotation with Uropa, and enrichment analysis with Metascape. Reports 35.1M and 29.5M uniquely mapped reads.",cross-reference in methods; explicit reference,High,GSE289039;GSE283906
Section 3.1 - Single-Cell RNA and ATAC Profiling Identify Major Cell Types,"Reports 61353 nuclei from snATAC-seq and 37640 cells from scRNA-seq after QC. Describes UMAP clustering identifying major brain cell populations (astrocytes, microglia, neurons, oligodendrocytes, endothelial cells, macrophages, pericytes/VSMCs, choroid plexus/ependymal). Confirms balanced representation across treatment groups.",methodological match; explicit reference,High,GSE283906;GSE283905
Figure 1A,"Experimental design schematic showing APP/PS1 mice treated with Bexarotene or Vehicle, brain dissociation, and snATAC-seq library preparation on 10x Genomics Chromium platform.",figure/table source,High,GSE283906
Figure 1B,"UMAP projections of integrated scRNA-seq and snATAC-seq datasets showing sample treatment distribution and major cell type annotations.",figure/table source,High,GSE283906;GSE283905
Figure 1C,"Bar plot showing proportions of annotated peak distributions across major cell types (n=5 per group) from snATAC-seq.",figure/table source,High,GSE283906
Figure 1D,"Heatmap of normalized expression of top marker genes for each cell type from scRNA-seq data.",figure/table source,High,GSE283905
Figure 1E,"Coverage plots showing chromatin accessibility across major cell types for representative marker genes from snATAC-seq, with peak-to-gene linkage analysis.",figure/table source,High,GSE283906;GSE283905
Section 3.2 - RXR Activation Remodels Chromatin Accessibility and Prioritizes Upstream Regulators,"Reports chromVAR motif enrichment analysis across cell types identifying 88 high-confidence candidate TF regulators (Pearson > 0.5, FDR < 0.01) by correlating motif enrichment with ATAC-inferred gene activity and RNA expression.",methodological match,High,GSE283906;GSE283905
Figure 2A-C,"Heatmaps of 88 candidate TF regulators showing chromVAR motif enrichment (snATAC-seq), inferred gene expression (snATAC-seq ArchR gene scores), and RNA expression (scRNA-seq), with Pearson correlation panels.",figure/table source,High,GSE283906;GSE283905
Figure 2D-F,"UMAP embeddings of example candidate TF regulators (Pax6, Lef1, Neurod6, Runx3, Mafb, Nfe2l3) showing motif enrichment and inferred gene expression from ATAC-seq and gene expression from RNA-seq.",figure/table source,High,GSE283906;GSE283905
Supplementary Table S1,"ChromVAR computed motif enrichment, inferred gene expression of cell-type-specific TFs, gene expression from scRNA profile, and their correlations.",figure/table source; cross-reference in methods,High,GSE283906;GSE283905
Section 3.3 - Integration of scRNA-Seq and snATAC-Seq Data,"Reports integration of scRNA-seq and snATAC-seq to map cell-type and condition-specific cis-regulatory elements. Identifies 1605 peaks more accessible with RXR activation and 1310 enriched in Vehicle across five major cell types. Reports peak-gene linkages and differential accessibility in microglia and endothelial cells with specific gene examples (Apoe, Fkbp5, Hes1, Sik1, Nupr1, Pdgfra, Mertk).",methodological match,High,GSE283906;GSE283905
Figure 3A,"Heatmap of differentially accessible peaks (n=1310 down, 14170 ns, 1685 up) and their linked genes between RXR-activated and Vehicle groups across major cell types, showing Z-scores for accessibility and expression.",figure/table source,High,GSE283906;GSE283905
Figure 3B,"Coverage plots of differentially accessible peaks at representative loci (Apoe/Apoc, Fkbp5, Hes1, Sik1, Nupr1, Pdgfra) with gene annotations, peak coordinates, genomic links, and expression levels under each condition.",figure/table source,High,GSE283906;GSE283905
Figure 3C,"GO enrichment analysis of biological processes associated with differentially accessible peaks and genes in microglia following RXR activation (upregulated and downregulated categories).",figure/table source,High,GSE283906;GSE283905
Figure 3D,"GO enrichment analysis of biological processes associated with differentially accessible peaks and genes in endothelial cells following RXR activation (upregulated and downregulated categories).",figure/table source,High,GSE283906;GSE283905
Supplementary Figure S2A,"Dot plot showing distribution of log2FC of differentially accessible peaks between Bexarotene and Vehicle groups in different cell types from snATAC-seq.",figure/table source,High,GSE283906
Supplementary Figure S2B-C,"GO enrichment analysis of biological processes associated with differentially accessible peaks and DEGs in astrocytes and oligodendrocytes from integrated snATAC-seq and scRNA-seq.",figure/table source,High,GSE283906;GSE283905
Supplementary Table S2,"Differentially accessible peak list between Bexarotene and Vehicle groups and GO terms associated with DA peaks across various cell types.",figure/table source,High,GSE283906;GSE283905
Section 3.4 - Transcription Factor Footprinting Reveals RXR-Centered Regulatory Circuits,"Reports TOBIAS footprinting analysis on snATAC-seq data from astrocytes, endothelial cells, oligodendrocytes, and microglia. Identifies differentially bound TFs between conditions. Compares footprinting changes with differential expression. Constructs RXR-centered TF regulatory network with 25 primary TFs activating 141 additional TFs.",methodological match,High,GSE283906;GSE283905
Figure 4A,"Schematic workflow for TF footprinting and regulatory network construction using TOBIAS on snATAC-seq data.",figure/table source,High,GSE283906
Figure 4B,"Heatmap of differentially bound TFs between RXR-activated and Vehicle groups in astrocytes, endothelial cells, microglia, and oligodendrocytes from TOBIAS BINDetect analysis.",figure/table source,High,GSE283906
Figure 4C,"Bar charts showing representative TF occupancy and gene expression changes (log2FC) with donut plots showing percentage of TFs with concordant occupancy and expression changes.",figure/table source,High,GSE283906;GSE283905
Figure 4D,"Representative TF footprints with significantly altered occupancy: Alx1 in astrocytes, Erg in endothelial cells, Spi1 in microglia, and Neurog1 in oligodendrocytes from snATAC-seq footprinting.",figure/table source,High,GSE283906
Figure 4E,"RXR-centered TF regulatory network showing direct and indirect RXR targets with node color indicating mean log2FC in binding score from TOBIAS analysis.",figure/table source,High,GSE283906
Figure 4F,"Neuronal TF regulatory network showing TFs with significantly different binding scores between RXR-activated and Vehicle groups from snATAC-seq footprinting.",figure/table source,High,GSE283906
Supplementary Figure S3,"Violin plots showing differentially bound TFs in Bexarotene versus Vehicle in major cell types (astrocytes, endothelial cells, microglia, oligodendrocytes, neurons) and by sample level from TOBIAS-BINDetect.",figure/table source,High,GSE283906
Supplementary Table S3,"Bexarotene versus Vehicle differentially bound TF analysis using TOBIAS footprinting on snATAC-seq data.",figure/table source,High,GSE283906
Section 3.5 - Differential Regulatory Networks in Neuronal Systems,"Reports TF regulatory networks reconstructed from footprinting in neurons comparing RXR-activated and Vehicle groups. Identifies 134 TFs with comparable network density (~0.18-0.20). Describes universal regulators (Klf4, Egr2, Zfx, Foxn1, Nrf1) and selective cascade rewiring (Atoh1 to Neurod2).",methodological match,High,GSE283906
Section 3.6 - ChIP-Seq Validation of RXR-Bound Regulatory Elements,"Reports ChIP-seq peak calling identifying 11957 significant RXR-binding sites. Of these, 3908 overlapped with enriched ATAC-seq peaks, with 1251 overlapping peaks (777 at TSSs, 60 in upstream promoters). GO and pathway analysis of overlapping peaks highlights enrichment in neurodegenerative disease pathways. Differential expression of neurodegeneration-related genes confirmed across cell types.",methodological match; explicit reference,High,GSE289039;GSE283906;GSE283905
Figure 5A-C,"Venn diagram and bar plots showing unique and overlapping peaks identified by ATAC-seq and ChIP-seq and their relative positions with respect to nearest gene features.",figure/table source,High,GSE289039;GSE283906
Figure 5D,"Circos plot visualizing overlap among gene lists from RXR ChIP-seq binding and ATAC-seq motif enrichment.",figure/table source,High,GSE289039;GSE283906
Figure 5E,"Network of enriched pathways associated with genes overlapping ATAC-seq and ChIP-seq peaks, with GO and pathway enrichment performed with Metascape.",figure/table source,High,GSE289039;GSE283906
Figure 5F,"Table of TF names, JASPAR RXRalpha motifs, and coordinates within overlapping ATAC-seq/ChIP-seq peaks and ENCODE cCRE signatures.",figure/table source,High,GSE289039;GSE283906
Figure 5G,"Heatmap of log2FC expression for genes near overlapping ATAC-seq and ChIP-seq peaks implicated in neurodegenerative disorders, with cell-type-specific expression of TFs located near overlapping peaks.",figure/table source,High,GSE289039;GSE283906;GSE283905
Supplementary Table S4,"Overlapping peaks where RXRalpha binds in both ATAC-seq and ChIP-seq datasets with corresponding annotations.",figure/table source,High,GSE289039;GSE283906
Section 3.7 - Integrative Single-Cell Analysis Links RXR Activation to Candidate Cis-Regulatory Elements,"Reports identification of seven TFs (Myc, Arid5a, Creb3l2, Egr1, Zic2, Gli2, Nfatc2) with overlapping ATAC-seq and RXR ChIP-seq peaks within ENCODE regulatory signatures, showing cell-type-specific expression and regulatory associations.",methodological match,High,GSE289039;GSE283906;GSE283905
Figure 5G lower panel,"Cell-type-specific expression of TFs (Myc, Arid5a, Creb3l2, Egr1, Zic2, Gli2, Nfatc2) located near overlapping ATAC-seq/ChIP-seq peaks from scRNA-seq data.",figure/table source,High,GSE283905;GSE289039;GSE283906
Supplementary Figure S1A-D,"Violin plots showing raw and post-filtering QC metrics (nCount_RNA, nFeature_RNA, mitochondrial gene percentage) for scRNA-seq dataset by treatment group and by sample.",figure/table source,High,GSE283905
Supplementary Figure S1E-F,"Violin plots showing TSS enrichment and log10 fragment number distributions for snATAC-seq groups; UMAP of simulated doublet enrichment for Bexarotene and Vehicle nuclei.",figure/table source,High,GSE283906
Supplementary Figure S1G,"Column graph showing distribution of cells/nuclei between Bexarotene and Vehicle samples across all cell types from both scRNA-seq and snATAC-seq.",figure/table source,High,GSE283906;GSE283905
Data Availability Statement,"States that snATAC-seq and ChIP-seq data are deposited at GEO under GSE283906 and GSE289039, and scRNA-seq data under GSE283905.",explicit reference,High,all
