claim_id,claim_text,claim_type,importance_tier,evidence_location,dataset_link,supporting_quote,key_terms
1,"Motif enrichment analysis of chromatin accessibility data identified 88 high-confidence candidate transcription factor regulators whose motif accessibility correlated with both chromatin-inferred and RNA-based gene expression across major brain cell types.",threshold-based or cutoff-dependent result,1,"Section 3.2, Figure 2A-C, Supplementary Table S1",GEO: GSE283906; GEO: GSE283905: direct,"We then prioritized regulators by correlating motif enrichment with ATAC-inferred gene activity (gene scores) and with RNA expression, identifying 88 high-confidence candidates (Pearson > 0.5, FDR < 0.01; Table S1, list of candidate TFs).",
2,"RXR activation altered chromatin accessibility at thousands of genomic loci in APP/PS1 mouse brain, with approximately 1600 peaks becoming more accessible and approximately 1300 peaks becoming less accessible compared to Vehicle.",threshold-based or cutoff-dependent result,1,"Section 3.3, Figure 3A",GEO: GSE283906; GEO: GSE283905: direct,"Most peaks showed no significant difference between RXR-activated and Vehicle groups across the five major cell types (n = 14,170; denoted ""ns"" in the heatmap), but 1605 peaks were more accessible with RXR activation and 1310 were enriched in Vehicle","APP/PS1: transgenic Alzheimer's disease mouse model (APPswe/PS1deltaE9)"
3,"Differentially accessible chromatin peaks following RXR activation were concentrated in microglia and endothelial cell clusters, with fewer changes in astrocytes, oligodendrocytes, and neurons.",comparative or integrative finding,1,"Section 3.3, Supplementary Table S2",GEO: GSE283906: direct,"Differentially accessible peaks were concentrated in microglia and endothelial clusters and less in astrocytes, oligodendrocytes and neurons",
4,"In microglia, RXR activation increased chromatin accessibility at loci associated with cell migration, cell differentiation, inflammatory response, phosphorylation, and high-density lipoprotein remodeling, including genes such as Ccr1, Cx3cr1, and Apoe.",direct empirical observation,1,"Section 3.3, Figure 3C",GEO: GSE283906; GEO: GSE283905: direct,"RXR activation increased chromatin accessibility affecting categories such as cell migration (Ccr1 [43]), cell differentiation (Dusp6 [44]), inflammatory response (Cx3cr1 [45]), phosphorylation (Bmp2k, Cbl [46]), HDL remodeling (Apoe, Lipg, Lipc, Lpl [47]) (Figure 3C, left).",
5,"In microglia, RXR activation decreased chromatin accessibility at loci associated with chromatin remodeling, cell differentiation including the microglia master regulator Spi1, and G protein-coupled receptor signaling.",direct empirical observation,1,"Section 3.3, Figure 3C",GEO: GSE283906; GEO: GSE283905: direct,"Bexarotene also decreased chromatin accessibility in gene ontology categories such as chromatin remodeling transcription (Nr3c1, Fkbp5, both genes are specific for microglia and macrophages), cell differentiation (Notch2, Spi1 [48] gene is microglia master regulator), and the phospholipase C-activating G protein-coupled receptor signaling pathway (P2ry12 [45], Lrp1 [49]) (Figure 3C, right).",Spi1: ETS-family transcription factor and microglia master regulator
6,"Chromatin accessibility at the Apoe/Apoc1 locus was significantly upregulated in microglia following RXR activation, with multiple promoter-proximal peaks showing higher accessibility, and Apoe mRNA expression was also significantly increased.",statistical/quantitative finding,1,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"Peaks linked to Apoe/Apoc locus were significantly upregulated in microglia (Apoe log2FC = 1.66; adj-p = 0.028 and Apoc1 log2FC = 1.13, adj-p = 6.3 x 10^-33) with several promoter-proximal peaks showing higher accessibility under RXR activation (Figure 3B, locus-level coverage and linked peaks).","Apoe: apolipoprotein E gene; RXR target gene central to brain lipid transport; Apoc1: apolipoprotein C1 gene at the same genomic locus"
7,"Approximately 20-27% of transcription factors showed concordant changes in both chromatin binding occupancy and differential gene expression across brain cell types following RXR activation.",statistical/quantitative finding,1,"Section 3.4, Figure 4C, Supplementary Table S3",GEO: GSE283906; GEO: GSE283905: direct,"Comparing footprinting changes with differential expression (Figure 4), 20-27% of TFs showed consistent regulation at both levels (Figure 4C, Table S3).",
8,"Transcription factor regulatory network analysis predicted a cascade of 25 primary transcription factors activated by ligand-bound RXR that collectively activate 141 additional transcription factors, revealing a hierarchical regulatory architecture across brain cell types.",computational/modeling-derived conclusion,1,"Section 3.4, Figure 4E",GEO: GSE283906: direct,"This analysis predicted a cascade initiated by ligand-activated RXR, involving 25 primary TFs that collectively activate 141 additional TFs, revealing an RXR-centered regulatory hierarchy across brain cell types.",
9,"Neuronal transcription factor regulatory networks remained structurally robust under RXR activation, encompassing approximately 134 transcription factors with comparable network size, density, and global connectivity between RXR-activated and Vehicle conditions.",computational/modeling-derived conclusion,1,"Section 3.5, Figure 4F",GEO: GSE283906: direct,"The resulting networks encompassed 134 TFs and thousands of edges, with comparable size, density (~0.18-0.20), and global connectivity between conditions.",
10,"A consistent core of universal neuronal hub regulators including Klf4, Egr2, Zfx, Foxn1, and Nrf1 maintained the highest network connectivity regardless of RXR activation status, forming a stable regulatory subnetwork.",computational/modeling-derived conclusion,1,Section 3.5,GEO: GSE283906: direct,"Across both conditions, a consistent core of universal regulators--including Klf4, Egr2, Zfx, Foxn1, and Nrf1--emerged with the highest out-degrees, forming a stable, radiating subgraph irrespective of the initiating seed TF.",
11,"RXR activation selectively enhanced specific transcription factor cascades in neurons, including the Atoh1-to-Neurod2 regulatory pathway, with Neurod2 emerging as a prominent regulatory hub in the RXR-activated network.",computational/modeling-derived conclusion,1,"Section 3.5, Figure 4F",GEO: GSE283906: direct,"RXR activation selectively altered specific cascades and hubs. For example, a cascade from Atoh1 to Neurod2 was enhanced, and Neurod2 itself emerged as a prominent regulatory hub.",
12,"Of approximately 12000 RXR binding peaks identified by ChIP-seq, approximately 3900 overlapped with differentially accessible chromatin regions, and among approximately 1250 shared peaks, roughly 70% were located at or near transcription start sites, indicating RXR binding is concentrated at proximal cis-regulatory elements.",statistical/quantitative finding,1,"Section 3.6, Figure 5A-C",GEO: GSE283906; GEO: GSE289039: direct,"Among the 1251 overlapping peaks, 777 were located at transcription start sites (TSSs) and another 60 within upstream promoter regions, indicating that nearly 70% of overlapping peaks represent proximal cis-regulatory elements (CREs) likely contributing to gene regulation under RXR activation (Figure 5C).","CRE: cis-regulatory element; non-coding DNA region that regulates transcription of nearby genes"
13,"Genes near overlapping chromatin accessibility and RXR binding peaks were enriched in pathways associated with multiple neurodegenerative disorders including Alzheimer's disease, Parkinson's disease, Huntington's disease, prion disease, and amyotrophic lateral sclerosis.",computational/modeling-derived conclusion,1,"Section 3.6, Figure 5E",GEO: GSE283906; GEO: GSE289039: direct,"Many of the predicted target genes clustered in KEGG pathways associated with neurodegenerative disorders, including Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), prion disease (PrD), and amyotrophic lateral sclerosis (ALS).",
14,"Integrative analysis of overlapping chromatin accessibility and RXR binding peaks within candidate regulatory element signatures identified seven transcription factors of particular interest - Myc, Arid5a, Creb3l2, Egr1, Zic2, Gli2, and Nfatc2 - each showing cell-type-specific expression patterns and regulatory associations.",comparative or integrative finding,1,"Section 3.7, Figure 5F-G",GEO: GSE283906; GEO: GSE289039; GEO: GSE283905: direct,"This approach identified seven TFs of particular interest--Myc, Arid5a, Creb3l2, Egr1, Zic2, Gli2, and Nfatc2--each showing cell-type-specific expression and regulatory associations (Figure 5G, lower panel).",
15,"Among the seven transcription factors identified at overlapping chromatin and RXR binding sites, only Myc and Nfatc2 had previously recognized direct regulatory input from retinoid receptors, while Arid5a, Creb3l2, Egr1, Zic2, and Gli2 represent newly identified candidate RXR regulatory targets.",comparative or integrative finding,1,Section 3.7,GEO: GSE283906; GEO: GSE289039; GEO: GSE283905: direct,"Among the seven, only Myc and Nfatc2 showed previously recognized direct regulatory input from retinoid receptors, specifically RXR/RAR heterodimers.",
16,"Differential expression analysis of neurodegeneration-related genes located near overlapping chromatin accessibility and RXR binding peaks confirmed altered expression across astrocytes, oligodendrocytes, endothelial cells, and microglia, consistent with binding and accessibility predictions.",comparative or integrative finding,1,"Section 3.6, Figure 5G",GEO: GSE283906; GEO: GSE289039; GEO: GSE283905: direct,"Differential expression analysis of these neurodegeneration-related genes across astrocytes, oligodendrocytes, endothelial cells, and microglia confirmed altered expression consistent with the footprinting predictions (Figure 5G).",
17,"RXR activation operates through a three-tiered regulatory architecture: direct RXR binding at accessible chromatin validated by ChIP-seq, secondary activation of partner transcription factors such as Nfatc2, Creb3l2, and Myc, and tertiary propagation through broader metabolic, inflammatory, and developmental gene expression networks.",mechanistic interpretation,1,Discussion Section 4; outside inventory,GEO: GSE283906; GEO: GSE289039; GEO: GSE283905: outside inventory,"Our integrative analyses also show how RXR operates through (a) direct DNA binding/primary effects, corresponding to direct RXR binding at accessible chromatin regions validated by ChIP-seq; (b) through partnerships or secondary effects, reflected in RXR-dependent activation of TFs such as Nfatc2, Creb3l2, and Myc that themselves exhibit altered footprinting and expression; and finally (c) tertiary downstream remodeling",
18,"Integrated single-cell chromatin and transcriptomic profiling of 5-month-old APP/PS1 mouse brain identified eight major cell populations: astrocytes, microglia, neurons, oligodendrocytes, endothelial cells, macrophages, pericytes/vascular smooth muscle cells, and choroid plexus epithelial/ependymal cells.",direct empirical observation,2,"Section 3.1, Figure 1B",GEO: GSE283906; GEO: GSE283905: direct,"Unsupervised clustering and UMAP projection identified major brain cell populations, including astrocytes, microglia, neurons, oligodendrocytes, endothelial cells, macrophages, pericytes/vascular smooth muscle cells, and a cluster containing choroid plexus epithelial and ependymal cells (Figure 1B, UMAP plots of integrated datasets).",
19,"Global cellular composition was preserved between RXR-activated and Vehicle-treated groups in APP/PS1 mouse brain, with balanced lineage representation across conditions.",comparative or integrative finding,2,"Section 3.1, Figure 1B, Supplementary Figure S1G",GEO: GSE283906; GEO: GSE283905: direct,"Cells from RXR-activated and Vehicle groups mapped to highly overlapping clusters, indicating that global cellular composition was preserved across conditions.",
20,"Chromatin accessibility patterns at cell-type marker gene loci paralleled transcriptomic expression patterns, and linkage analysis identified correlated regions of chromatin accessibility and gene activity across distinct cell populations.",comparative or integrative finding,2,"Section 3.1, Figure 1E",GEO: GSE283906; GEO: GSE283905: direct,"Chromatin accessibility analysis of cell type-specific marker genes paralleled expression patterns (Figure 1E, accessibility tracks for representative marker genes), further supporting robust annotation. Peak-to-gene linkage analysis highlighted correlated regions of chromatin accessibility and gene activity across distinct cell populations (Figure 1E, bottom), providing an initial framework for mapping RXR-dependent cis-regulatory interactions.",
21,"Candidate transcription factor regulators showed cell-type specificity, with Pax6 enriched in astrocytes, Lef1 in endothelial cells, Neurod6 in neurons, Runx3 in macrophages, Mafb in microglia, and Nfe2l3 in oligodendrocytes.",direct empirical observation,2,"Section 3.2, Figure 2D-F",GEO: GSE283906; GEO: GSE283905: direct,"Examples include cell-type-specific regulators such as Pax6 (astrocytes), Lef1 (endothelium), Neurod6 (neurons), Runx3 (macrophages), Mafb (microglia), and Nfe2l3 (oligodendrocytes)",
22,"In microglia, RXR activation produced approximately 1750 differentially accessible chromatin peaks, with roughly equal numbers showing increased (~856) and decreased (~816) accessibility.",threshold-based or cutoff-dependent result,2,"Section 3.3, Supplementary Table S2",GEO: GSE283906: direct,"In microglia, there were 1752 differential peaks (856 upregulated and 816 downregulated).",
23,"Chromatin peaks linked to the Fkbp5 locus were significantly downregulated in microglia following RXR activation, coinciding with decreased Fkbp5 mRNA expression.",statistical/quantitative finding,2,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"We identified two peaks linked to Fkbp5 locus which were significantly downregulated in microglia (log2FC = -0.94; adj-p = 2.2 x 10^-5), coinciding with mRNA downregulation (log2FC = -0.16; adj-p = 6.6 x 10^-6) in these cells","Fkbp5: FK506 binding protein 5; associated with glucocorticoid receptor signaling and steroid hormone receptor trafficking"
24,"Endothelial cells showed approximately 1700 differentially accessible chromatin peaks following RXR activation, and this cell type demonstrated the strongest overlap between differential accessibility and transcriptional responses among all cell types examined.",comparative or integrative finding,2,"Section 3.3, Supplementary Table S2",GEO: GSE283906; GEO: GSE283905: direct,"Endothelial cells showed 1717 differential peaks increasing chromatin accessibility and 928 decreasing it (Supplementary Table S2). This cell type demonstrated the strongest overlap between differential accessibility and transcriptional responses.",
25,"In endothelial cells, RXR activation upregulated chromatin accessibility and expression at loci involved in transcriptional regulation, angiogenesis, cell migration, and cytoskeletal organization, including genes such as Hes1, Bach2, Id3, and Bcam.",direct empirical observation,2,"Section 3.3, Figure 3D",GEO: GSE283906; GEO: GSE283905: direct,"Upregulated GO categories were regulation of transcription involved in different cell functions (Hes1, Bach2, Id3) (Figure 3D, left).",
26,"In endothelial cells, the Hes1 locus showed significantly increased chromatin accessibility with concordant mRNA upregulation following RXR activation.",statistical/quantitative finding,2,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"Figure 3B shows the differentially accessible peaks and the representative locus of Hes1 gene in endothelial cells (log2FC = 0.70; adj-p = 2.73 x 10^-8) and its mRNA upregulation (log2FC = 0.38; adj-p = 6.9 x 10^-29).","Hes1: Hes family BHLH transcription factor 1; key regulator of cell differentiation and proliferation"
27,"In endothelial cells, the Sik1 locus showed decreased chromatin accessibility with concordant mRNA downregulation following RXR activation.",statistical/quantitative finding,2,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"Figure 3B shows the differentially accessible peak of Sik1 locus in endothelial cells (log2FC = -0.29; adj-p = 3.55 x 10^-8) and its mRNA downregulation (log2FC = -0.14; adj-p = 1 x 10^-4).",Sik1: salt-inducible kinase 1
28,"In astrocytes, RXR activation produced approximately 276 differentially accessible peaks, predominantly showing decreased accessibility (~252 downregulated vs ~26 upregulated), with enrichment in biological categories including transcriptional regulation, chromatin remodeling, and brain development.",threshold-based or cutoff-dependent result,2,"Section 3.3, Supplementary Figure S2B",GEO: GSE283906: direct,"In astrocytes, there were 276 differential peaks (26 up- and 252 downregulating, Supplementary Table S2).",
29,"In astrocytes, RXR activation increased chromatin accessibility near the Nupr1 transcription start site, accompanied by increased Nupr1 mRNA expression.",statistical/quantitative finding,2,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"Treatment increased chromatin accessibility near the Nupr1 transcription start site (log2FC = 0.52; adj-p = 6.28 x 10^-4) that was associated with increased expression (mRNA log2FC = 0.14; adj-p = 2.2 x 10^-9).","Nupr1: Nuclear Protein 1; stress-responsive transcription regulator involved in cell-cycle, apoptosis, and autophagy"
30,"In oligodendrocytes, RXR activation produced approximately 185 differentially accessible peaks (~64 upregulated and ~121 downregulated), affecting biological categories related to receptor tyrosine kinase signaling and nervous system development.",threshold-based or cutoff-dependent result,2,"Section 3.3, Supplementary Figure S2C",GEO: GSE283906: direct,"In Oligodendrocytes there were 185 differential peaks (64 up- and 121 downregulating, Supplementary Table S2).",
31,"In oligodendrocytes, Pdgfra showed increased mRNA expression with concordant increased chromatin accessibility at its promoter following RXR activation.",statistical/quantitative finding,2,"Section 3.3, Figure 3B",GEO: GSE283906; GEO: GSE283905: direct,"Pdgfra is an oligodendrocytes specific gene which was upregulated after treatment (mRNA log2FC = 0.27; adj-p = 0.021), matching the increased chromatin accessibility with a peak close to the promoter (log2FC = 0.72; adj-p = 4.9 x 10^-4, see Figure 3B for coverage plots of differentially accessible peaks).",Pdgfra: platelet-derived growth factor receptor alpha; oligodendrocyte-specific gene
32,"In oligodendrocytes, Mertk showed increased mRNA expression accompanied by increased chromatin accessibility at a promoter-proximal peak following RXR activation.",statistical/quantitative finding,2,"Section 3.3, Supplementary Figure S2C",GEO: GSE283906; GEO: GSE283905: direct,"Mertk, a tyrosine kinase that was reported upregulated by Bexarotene [62]) also showed increased expression after treatment in our study (mRNA log2FC = 0.11; adj-p = 0.03), accompanied by the increased chromatin accessibility with a peak close to the promoter (log2FC = 0.51; adj-p = 0.006).",Mertk: MER proto-oncogene tyrosine kinase
